id,name,kananame,category_id,prefectures_id,address,official_website
1,札幌市 円山動物園,サッポロシ マルヤマドウブツエン,1,1,北海道札幌市中央区宮ヶ丘3-1,https://www.city.sapporo.jp/zoo/index.html
2,旭山市 旭山動物園,アサヒヤマシ アサヒヤマドウブツエン,1,1,北海道旭川市東旭川町倉沼,https://www.city.asahikawa.hokkaido.jp/asahiyamazoo/index.html
3,おびひろ動物園,オビヒロドウブツエン,1,1,北海道帯広市緑ヶ丘2,https://www.city.obihiro.hokkaido.jp/zoo/
4,釧路市 動物園,クシロシ ドウブツエン,1,1,北海道釧路市阿寒町下仁々志別11,https://www.city.kushiro.lg.jp/zoo/
5,のぼりべつクマ牧場,ノボリベツクマボクジョウ,1,1,北海道登別市登別温泉町224,https://bearpark.jp/
6,おたる水族館,オタルスイゾクカン,2,1,北海道小樽市祝津3-303,https://otaru-aq.jp/
7,サンピアザ水族館,サンピアザスイゾクカン,2,1,北海道札幌市厚別区厚別中央2-5-7-5,http://www.sunpiazza-aquarium.com/
8,登別マリンパーク ニクス,ノボリベツマリンパーク ニクス,2,1,北海道登別市登別東町1-22,https://www.nixe.co.jp/
9,千歳水族館,チトセスイゾクカン,2,1,北海道千歳市花園2-312,https://chitose-aq.jp/
10,弥生 いこいの広場,ヤヨイ イコイノヒロバ,1,2,青森県弘前市大字百沢字東岩木山2480-1,http://www.hirosakipark.or.jp/yayoi/
11,盛岡市 動物公園,モリオカシ ドウブツコウエン,1,3,岩手県盛岡市新庄字下八木田60-18,http://moriokazoo.org/
12,岩手サファリパーク,イワテサファリパーク,1,3,岩手県一関市藤沢町黄海字山谷121-2,https://www.iwate-safari.jp/
13,仙台市 八木山動物公園,センダイシ ヤギヤマドウブツコウエン,1,4,宮城県仙台市青葉区国分町3-7-1,http://www.city.sendai.jp/zoo/index.html
14,秋田市 大森山動物園,アキタシ オオモリヤマドウブツエン,1,5,秋田県秋田市浜田字潟端154,https://www.city.akita.lg.jp/zoo/index.html
15,男鹿水族館 GAO,オガスイゾクカン ガオ,2,5,秋田県男鹿市戸賀塩浜,https://www.gao-aqua.jp/
16,鶴岡市立 加茂水族館,ツルオカシリツ カモスイゾクカン,2,6,山形県鶴岡市今泉字大久保657-1,http://kamo-kurage.jp/
17,アクアマリンふくしま,アクアマリンフクシマ,2,7,福島県いわき市小名浜字辰巳町50,https://www.aquamarine.or.jp/
18,アクアマリンいなわしろ カワセミ水族館,アクアマリンイナワシロ カワセミスイゾクカン,2,7,福島県耶麻郡猪苗代町大字長田字東中丸3447-4,https://www.aquamarine.or.jp/kawasemi/
19,日立市 かみね動物園,ヒタチシ カミネドウブツエン,1,8,茨城県日立市宮田町5-2-22,https://www.city.hitachi.lg.jp/zoo/
20,宇都宮動物園,ウツノミヤドウブツエン,1,9,栃木県宇都宮市上金井町552-2,https://utsunomiya-zoo.com/
21,那須どうぶつ王国,ナスドウブツオウコク,1,9,栃木県那須郡那須町大島1042-1,http://www.nasu-oukoku.com/
22,那須サファリパーク,ナスサファリパーク,1,9,栃木県那須郡那須町高久乙3523,https://www.nasusafari.com/
23,栃木県 なかがわ水遊園,トチギケン ナカガワスイユウエン,2,9,栃木県大田原市佐良土2686,https://tnap.jp/
24,桐生が岡動物園,キリュウガオカドウブツエン,1,10,群馬県桐生市宮本町3-8-13,https://www.city.kiryu.lg.jp/zoo/index.html
25,野生の王国 群馬サファリパーク,ヤセイノオウコク グンマサファリパーク,1,10,群馬県富岡市岡本1,https://www.safari.co.jp/
26,大宮公園 小動物園,オオミヤコウエン ショウドウブツエン,1,11,埼玉県さいたま市大宮区高鼻町4,http://www.parks.or.jp/omiyazoo/
27,埼玉県 こども動物自然公園,サイタマケン コドモドウブツシゼンコウエン,1,11,埼玉県東松山市岩殿554,http://www.parks.or.jp/sczoo/
28,東武動物公園,トウブドウブツコウエン,1,11,埼玉県南埼玉郡宮代町須賀110,http://www.tobuzoo.com/zoo/
29,狭山市立 智光山公園 こどもどうぶつえん,サヤマシリツ チコウザンコウエン コドモドウブツエン,1,11,埼玉県狭山市柏原864-1,http://www.parks.or.jp/chikozan/guide/000/000747.html
30,大崎公園 子供動物園,オオサキコウエン コドモドウブツエン,1,11,埼玉県さいたま市南区別所4-12-10,https://www.sgp.or.jp/osaki
31,さいたま水族館,サイタマスイゾクカン,2,11,埼玉県羽生市三田ヶ谷751-1,http://www.parks.or.jp/suizokukan/
32,千葉市動物公園,チバシドウブツコウエン,1,12,千葉県千葉市若葉区源町280,https://www.city.chiba.jp/zoo/
33,市川市動植物園,イチカワシドウショクブツエン,1,12,千葉県市川市大町284,https://www.city.ichikawa.lg.jp/zoo/index.html
34,ANIMAL WONDER REZOURT(市原ぞうの国),アニマル ワンダー リゾウト(イチハラゾウノクニ),1,12,千葉県市原市山小川937,https://zounokuni.com/
35,鴨川シーワールド,カモガワシーワールド,2,12,千葉県鴨川市東町1464-18,http://www.kamogawa-seaworld.jp/index.html
36,上野動物園,ウエノドウブツエン,1,13,東京都台東区上野公園9-83,https://www.tokyo-zoo.net/zoo/ueno/
37,多摩動物公園,タマドウブツコウエン,1,13,東京都日野市程久保7-1-1,https://www.tokyo-zoo.net/zoo/tama/
38,井の頭自然文化園,イノカシラシゼンブンカエン,1,13,東京都武蔵野市御殿山1-17-6,https://www.tokyo-zoo.net/zoo/ino/
39,東京都立 大島公園,トウキョウトリツ オオシマコウエン,1,13,東京都大島町元町字オンダシ222-1,https://www.soumu.metro.tokyo.lg.jp/11osima/park/www/htdocs/zoo/index.html
40,羽村市動物公園,ハムラシドウブツコウエン,1,13,東京都羽村市羽4122,http://www.t-net.ne.jp/~hamura-z/
41,江戸川区自然動物園,エドガワクシゼンドウブツエン,1,13,東京都江戸川区北葛西3-2-1,https://www.edogawa-kankyozaidan.jp/zoo/
42,足立区生物園,アダチクセイブツエン,1,13,東京都足立区保木間2-17-1,https://www.seibutuen.jp/
43,サンシャイン水族館,サンシャインスイゾクカン,2,13,東京都豊島区東池袋3-1,https://sunshinecity.jp/aquarium/
44,葛西臨海水族園,カサイリンカイスイゾクエン,2,13,東京都江戸川区臨海町6-2-3,https://www.tokyo-zoo.net/zoo/kasai/
45,しながわ水族館,シナガワスイゾクカン,2,13,東京都品川区勝島3-2-1,https://www.aquarium.gr.jp/
46,マクセル アクアパーク品川,マクセル アクアパークシナガワ,2,13,東京都港区高輪4-10-30,http://www.aqua-park.jp/aqua/index.html
47,すみだ水族館,スミダスイゾクカン,2,13,東京都墨田区押上1-1-2,https://www.sumida-aquarium.com/index.html
48,夢見ヶ崎動物公園,ユメミガサキドウブツコウエン,1,14,神奈川県川崎市幸区南加瀬1-2-1,https://www.city.kawasaki.jp/shisetsu/category/30-26-0-0-0-0-0-0-0-0.html
49,野毛山動物園,ノゲヤマドウブツエン,1,14,神奈川県横浜市西区老松町63-10,http://www.hama-midorinokyokai.or.jp/zoo/nogeyama/
50,横浜自然公園 金沢動物園,ヨコハマシゼンコウエン カナザワドウブツエン,1,14,神奈川県横浜市金沢区釜利谷東5-15-1,http://www.hama-midorinokyokai.or.jp/zoo/kanazawa/
51,よこはま動物園 ズーラシア,ヨコハマドウブツエン ズーラシア,1,14,神奈川県横浜市旭区上白根町1175-1,http://www.hama-midorinokyokai.or.jp/zoo/zoorasia/
52,横浜・八景島 シーパラダイス,ヨコハマ・ハッケイジマ シーパラダイス,2,14,神奈川県横浜市金沢区八景島,http://www.seaparadise.co.jp/
53,新江ノ島水族館,シンエノシマスイゾクカン,2,14,神奈川県藤沢市片瀬海岸2-19-1,https://www.enosui.com/
54,箱根園水族館,ハコネエンスイゾクカン,2,14,神奈川県足柄下郡箱根町元箱根139,https://www.princehotels.co.jp/amuse/hakone-en/suizokukan/
55,上越市立 水族博物館,ジョウエツシリツ スイゾクハクブツカン,2,15,新潟県上越市五智2-15-15,http://www.umigatari.jp/joetsu/
56,寺泊 水族博物館,テラドマリ スイゾクハクブツカン,2,15,新潟県長岡市寺泊花立9353-158,http://www.aquarium-teradomari.jp/
57,新潟市水族館 マリンピア日本海,ニイガタシスイゾクカン マリンピアニホンカイ,2,15,新潟県新潟市中央区西船見町5932-445,https://www.marinepia.or.jp/
58,富山市 ファミリーパーク,トヤマシ ファミリーパーク,1,16,富山県富山市古沢254,https://www.toyama-familypark.jp/
59,高岡古城公園 動物園,タカオカコジョウコウエン ドウブツエン,1,16,富山県高岡市古城1-6,https://www.takaokakojyozoo.jp/
60,いしかわ動物園,イシカワドウブツエン,1,17,石川県能美市徳山町600,http://www.ishikawazoo.jp/
61,のとじま水族館,ノトジマスイゾクカン,2,17,石川県七尾市能登島曲町15-40,https://www.notoaqua.jp/
62,鯖江市 西山動物園,サバエシ ニシヤマドウブツエン,1,18,福井県鯖江市桜町3-8-9,https://www.city.sabae.fukui.jp/nishiyama_zoo/
63,越前松島 水族館,エチゼンマツシマ スイゾクカン,2,18,福井県坂井市三国町崎74-2-3,https://www.echizen-aquarium.com/
64,甲府市 遊亀公園附属動物園,コウフシ ユウキコウエンフゾクドウブツエン,1,19,山梨県甲府市太田町10-1,https://www.city.kofu.yamanashi.jp/zoo/index.html
65,山梨県立 富士湧水の里 水族館,ヤマナシケンリツ フジユウスイノサト スイゾクカン,2,19,山梨県南都留郡忍野村忍草3098-1,http://www.morinonakano-suizokukan.com/
66,小諸市動物園,コモロシドウブツエン,1,20,長野県小諸市丁311,https://www.city.komoro.lg.jp/kaikoen/about/7139.html
67,須坂市動物園,スザカシドウブツエン,1,20,長野県須坂市臥竜2-4-8,https://www.city.suzaka.nagano.jp/suzaka_zoo/
68,長野市 茶臼山動物園,ナガノシ チャウスヤマドウブツエン,1,20,長野県長野市篠ノ井有旅570-1,http://www.chausuyama.com/
69,飯田市立動物園,イイダシリツドウブツエン,1,20,長野県飯田市扇町33,https://iidazoo.jp/
70,市立大町 山岳博物館,シリツオオマチ サンガクハクブツカン,1,20,長野県大町市大町8056-1,https://omachi-sanpaku.com/
71,蓼科アミューズメント水族館,タテシナアミューズメントスイゾクカン,2,20,長野県茅野市北山4035-2409,https://www.tateshina-aquarium.jp/
72,三島市立公園 楽寿園,ミシマシリツコウエン ラクジュエン,1,22,静岡県三島市一番町19-3,http://www.city.mishima.shizuoka.jp/rakujyu/
73,富士サファリパーク,フジサファリパーク,1,22,静岡県裾野市須山字藤原2255-27,https://www.fujisafari.co.jp/
74,伊豆アニマルキングダム,イズアニマルキングダム,1,22,静岡県賀茂郡東伊豆町稲取3344,http://izu-kamori.jp/izu-biopark/index.html
75,伊豆シャボテン 動物公園,イズシャボテン ドウブツコウエン,1,22,静岡県伊東市富戸1317-13,https://shaboten.co.jp/
76,熱川 バナナワニ園,アタミ バナナワニエン,1,22,静岡県賀茂郡東伊豆町奈良本1253-10,http://bananawani.jp/
77,静岡市立 日本平動物園,シズオカシリツ ニホンダイラドウブツエン,1,22,静岡県静岡市駿河区池田1767-6,https://www.nhdzoo.jp/
78,浜松市動物園,ハママツシドウブツエン,1,22,静岡県浜松市西区舘山寺町199,https://www.hamazoo.net/
79,伊豆・三津 シーパラダイス,イズ・ミツ シーパラダイス,2,22,静岡県沼津市内浦長浜3-1,http://www.izuhakone.co.jp/seapara/
80,東海大学海洋博物館 海のはくぶつかん,トウカイダイガクカイヨウハクブツカン ウミノハクブツカン,2,22,静岡県静岡市清水区三保2389,https://www.umi.muse-tokai.jp/
81,のんほいパーク 豊橋総合動植物園,ノンホイパーク トヨハシソウゴウドウショクブツエン,1,23,愛知県豊橋市大岩町字大穴1-238,https://www.nonhoi.jp/
82,名古屋市 東山動植物園,ナゴヤシ ヒガシヤマドウショクブツエン,1,23,愛知県名古屋市千種区東山元町3-70,http://www.higashiyama.city.nagoya.jp/
83,日本モンキーセンター,ニホンモンキーセンター,1,23,愛知県犬山市犬山官林26,http://www.j-monkey.jp/
84,豊田市 鞍ケ池公園,トヨタシ クラガイケコウエン,1,23,愛知県豊田市矢並町法沢714-5,https://www.daiwalease.co.jp/open/kuragaike/
85,岡崎市 東公園動物園,オカザキシ ヒガシコウエンドウブツエン,1,23,愛知県岡崎市欠町字大山田1,https://www.city.okazaki.lg.jp/1100/1107/1149/p006023.html
86,南知多ビーチランド,ミナミチタビーチランド,2,23,愛知県知多郡美浜町奥田428-1,https://www.beachland.jp/beach/index.asp
87,碧南海浜水族館,ヘキナンカイヒンスイゾクカン,2,23,愛知県碧南市浜町2-3,http://www.city.hekinan.lg.jp/aquarium/index.html
88,名古屋港水族館,ナゴヤコウスイゾクカン,2,23,愛知県名古屋市港区港町1-3,https://nagoyaaqua.jp/
89,竹島水族館,タケシマスイゾクカン,2,23,愛知県蒲郡市竹島町1-6,https://www.city.gamagori.lg.jp/site/takesui/
90,鳥羽水族館,トバスイゾクカン,2,24,三重県鳥羽市鳥羽3-3-6,https://www.aquarium.co.jp/
91,志摩マリンランド,シママリンランド,2,24,三重県志摩市阿児町神明723-1,https://www.kintetsu.co.jp/leisure/shimamarine/
92,伊勢シーパラダイス,イセシーパラダイス,2,24,三重県伊勢市二見町江580,https://ise-seaparadise.com/
93,滋賀県立 琵琶湖博物館,シガケンリツ ビワコハクブツカン,2,25,滋賀県草津市下物町1091,https://www.biwahaku.jp/
94,京都市動物園,キョウトシドウブツエン,1,26,京都府京都市左京区岡崎法勝寺町,http://www5.city.kyoto.jp/zoo/
95,宮津エネルギー研究所 丹後魚っ知館,ミヤツエネルギーケンキュウジョ タンゴウオッチカン,2,26,京都府宮津市小田宿野1001,https://www.kepco.co.jp/corporate/profile/community/pr/miyazu/aquarium/index.html
96,京都水族館,キョウトスイゾクカン,2,26,京都府京都市下京区観喜寺町35-1,https://www.kyoto-aquarium.com/index.html
97,天王寺動物園,テンノウジドウブツエン,1,27,大阪府天王寺区茶臼山町1-108,https://www.city.osaka.lg.jp/contents/wdu170/tennojizoo/
98,五月山動物園,サツキヤマドウブツエン,1,27,大阪府池田市綾羽2丁目5-33,http://www.satsukiyamazoo.com/
99,海遊館,カイユウカン,2,27,大阪府大阪市港区海岸通1-1-10,https://www.kaiyukan.com/index.html
100,NIFREL,ニフレル,2,27,大阪府吹田市千里万博公園2-1,https://www.nifrel.jp/
101,神戸市立 王子動物園,コウベシリツ オウジドウブツエン,1,28,兵庫県神戸市灘区王子町3-1,http://www.kobe-ojizoo.jp/
102,神戸どうぶつ王国,コウベドウブツオウコク,1,28,兵庫県神戸市中央区港島南町7-1-9,https://www.kobe-oukoku.com/
103,姫路市立動物園,ヒメジシリツドウブツエン,1,28,兵庫県姫路市本町68,https://www.city.himeji.lg.jp/dobutuen/
104,姫路セントラルパーク,ヒメジセントラルパーク,1,28,兵庫県姫路市豊富町神谷1434,https://www.central-park.co.jp/safari/
105,淡路ファームパーク,アワジファームパーク,1,28,兵庫県南あわじ市八木養宜上1401,http://www.england-hill.com/
106,神戸市立 須磨海浜水族園,コウベシリツ スマカイヒンスイゾクエン,2,28,兵庫県神戸市須磨区若宮町1-3-5,https://kobe-sumasui.jp/
107,城崎マリンワールド,キノサキマリンワールド,2,28,兵庫県豊岡市瀬戸1090,http://marineworld.hiyoriyama.co.jp/
108,姫路市立水族館,ヒメジシリツスイゾクカン,2,28,兵庫県姫路市西延末440,https://www.city.himeji.lg.jp//aqua/
109,和歌山城公園 動物園,ワカヤマジョウコウエン ドウブツエン,1,30,和歌山県和歌山市1-3,http://wakayamajo.jp/animal/index.html
110,アドベンチャーワールド,アドベンチャーワールド,1,30,和歌山県西牟婁郡白浜町堅田2399,https://www.aws-s.com/
111,串本海中公園,クシモトカイチュウコウエン,2,30,和歌山県東牟婁郡串本町有田1157,http://www.kushimoto.co.jp/
112,太地町立 くじらの博物館,タイジチョウリツ クジラノハクブツカン,2,30,和歌山県東牟婁郡太地町太地2934-2,http://www.kujirakan.jp/
113,島根県立 しまね海洋館,シマネケンリツ シマネカイヨウカン,2,32,島根県浜田市久代町1117-2,https://aquas.or.jp/
114,池田動物園,イケダドウブツエン,1,33,岡山県岡山市北区京山2-5-1,http://www.urban.ne.jp/home/ikedazoo/
115,市立 玉野海洋博物館,シリツ タマノカイヨウハクブツカン,2,33,岡山県玉野市渋川2-6-1,https://www.city.tamano.lg.jp/site/kaihaku/
116,広島市 安佐動物公園,ヒロシマシ アサドウブツコウエン,1,34,広島県広島市安佐北区安佐町大字動物園,http://www.asazoo.jp/
117,福山市立 動物園,フクヤマシリツ ドウブツエン,1,34,広島県福山市芦田町福田276-1,http://www.fukuyamazoo.jp/index.php
118,みやじマリン 宮島水族館,ミヤジマリン ミヤジマスイゾクカン,2,34,広島県廿日市市宮島町10-3,http://www.miyajima-aqua.jp/
119,周南市 徳山動物園,シュウナンシ トクヤマドウブツエン,1,35,山口県周南市大字徳山5846,http://www.city.shunan.lg.jp/site/zoo/
120,秋吉台自然動物公園 サファリランド,アキヨシダイシゼンドウブツコウエン サファリランド,1,35,山口県美祢市美東町赤1212,http://www.safariland.jp/index.shtml
121,ときわ動物園,トキワドウブツエン,1,35,山口県宇部市則貞3-4-1,https://www.tokiwapark.jp/zoo/
122,市立しものせき水族館 海響館,シリツシモノセキスイゾクカン カイキョウカン,2,35,山口県下関市あるかぽーと6-1,http://www.kaikyokan.com/
123,とくしま動物園 北島建設の森,トクシマドウブツエン キタジマケンセツノモリ,1,36,徳島県徳島市渋野町入道22-1,http://www.city.tokushima.tokushima.jp/zoo/index.html
124,愛媛県立 とべ動物園,エヒメケンリツ トベドウブツエン,1,38,愛媛県伊予郡砥部町上原町240,https://www.tobezoo.com/
125,虹の森公園 おさかな館,ニジノモリコウエン オサカナカン,2,38,愛媛県北宇和郡松野町延野々1510-1,https://morinokuni.or.jp/publics/index/27/
126,わんぱーくこうち アニマルランド,ワンパークコウチ アニマルランド,1,39,高知県高知市桟橋通6-9-1,https://www.city.kochi.kochi.jp/deeps/17/1712/animal/index.htm
127,高知県立 のいち動物公園,コウチケンリツ ノイチドウブツコウエン,1,39,高知県香南市野市町大谷738,http://www.noichizoo.or.jp/
128,桂浜水族館,カツラハマスイゾクカン,2,39,高知県高知市浦戸778,https://katurahama-aq.jp/
129,高知県立 足摺海洋館 SATOUMI,コウチケンリツ アシズリカイヨウカン サトウミ,2,39,高知県土佐清水市三崎字今芝4032,https://kaiyoukan.jp/index.html
130,到津の森公園,イトウヅノモリコウエン,1,40,福岡県北九州市小倉北区上到津4-1-8,https://www.itozu-zoo.jp/
131,福岡市 動植物園,フクオカシ ドウショクブツエン,1,40,福岡県福岡市中央区南公園1-1,https://zoo.city.fukuoka.lg.jp/
132,大牟田市 動物園,オオムタシ ドウブツエン,1,40,福岡県大牟田市昭和町163,https://omutacityzoo.org/
133,久留米市 鳥類センター,クルメシ チョウルイセンター,1,40,福岡県久留米市東櫛原町1667,http://kurumekoen.org/birdc/
134,国営海の中道海浜公園 動物の森,コクエイウミノナカミチカイヒンコウエン ドウブツノモリ,1,40,福岡県福岡市東区大字西戸崎18-25,https://uminaka-park.jp/animal/
135,マリンワールド海の中道 海洋生態科学館,マリンワールドウミノナカミチ カイヨウセイタイカガクカン,2,40,福岡県福岡市東区大字西戸崎18-28,https://marine-world.jp/
136,西海国立公園 九十九島動植物園 森きらら,サイカイコクリツコウエン クジュウクシマドウショクブツエン モリキララ,1,42,長崎県佐世保市船越町2172,https://morikirara.jp/
137,長崎バイオパーク,ナガサキバイオパーク,1,42,長崎県西海市西彼町中山郷2291-1,http://www.biopark.co.jp/
138,西海国立公園 九十九島水族館 海きらら,サイカイコクリツコウエン クジュウクシマスイゾクカン ウミキララ,2,42,長崎県佐世保市鹿子前町1008,https://umikirara.jp/
139,長崎ペンギン水族館,ナガサキペンギンスイゾクカン,2,42,長崎県長崎市宿町3-16,https://penguin-aqua.jp/
140,熊本市 動植物園,クマモトシ ドウショクブツエン,1,43,熊本県熊本市東区健軍5-14-2,http://ezooko.jp/
141,九州自然動物公園 アフリカンサファリ,キュウシュウシゼンドウブツコウエン アフリカンサファリ,1,44,大分県宇佐市安心院町南畑2-1755-1,http://www.africansafari.co.jp/
142,大分マリーンパレス水族館 うみたまご,オオイタマリーンパレススイゾクカン ウミタマゴ,2,44,大分県大分市大字神崎字ウト3078-22,https://www.umitamago.jp/
143,宮崎市 フェニックス自然動物園,ミヤザキシ フェニックスシゼンドウブツエン,1,45,宮崎県宮崎市大字塩路字浜山3083-42,http://www.miyazaki-city-zoo.jp/
144,鹿児島市 平川動物公園,カゴシマシ ヒラカワドウブツコウエン,1,46,鹿児島県鹿児島市平川町5669-1,https://hirakawazoo.jp/
145,いおワールド かごしま水族館,イオワールド カゴシマスイゾクカン,2,46,鹿児島県鹿児島市本港新町3-1,http://ioworld.jp/
146,沖縄こどもの国,オキナワコドモノクニ,1,47,沖縄県沖縄市胡屋5-7-1,https://www.okzm.jp/
147,ネオパークオキナワ,ネオパークオキナワ,1,47,沖縄県名護市名護4607-41,https://www.neopark.co.jp/
148,めんそーれ 沖縄美ら海水族館,メンソーレ オキナワチュラウミスイゾクカン,2,47,沖縄県国頭郡本部町字石川424,https://churaumi.okinawa/